domain,ecommerce_platform,helpdesk,technologies_app_partners,estimated_gmv_band
aarhussurfogski.dk,magento_2,,,SMB 1 (<$150K)
performancelights.co.uk,magento_2,,,SMB 1 (<$150K)
moonbery.com,magento_2,zendesk,klaviyo,SMB 1 (<$150K)
tlcguitargoods.com,magento_2,,,SMB 2 ($150K-3M)
viacorenutrition.com,shopify,tidio,mailchimp,SMB 1 (<$150K)
btlsvc.com,shopify,,mailchimp,SMB 1 (<$150K)
lbzstore.life,shopify,Shopify Inbox,,SMB 2 ($150K-3M)
annie-domini.com,shopify,,,SMB 1 (<$150K)
moodyales.com,shopify,,klaviyo;mailchimp,SMB 2 ($150K-3M)
allpadlocks.com,shopify,,,SMB 2 ($150K-3M)
vitalmotion.shop,shopify,,,
hungrybirdeats.com,shopify,Shopify Inbox,klaviyo;judge_me;recharge,SMB 1 (<$150K)
goodgameshop.gg,shopify,,,SMB 1 (<$150K)
alphaline.com.ph,shopify,,,SMB 1 (<$150K)
charleyeannashop.it,shopify,,judge_me,SMB 1 (<$150K)
justskirtz.com,shopify,Shopify Inbox,SMSBump;loox;mailchimp,SMB 1 (<$150K)
jackpotbreakers.com,shopify,,,SMB 1 (<$150K)
hairdewproducts.com,shopify,,,SMB 1 (<$150K)
eagle-kite.com,shopify,Shopify Inbox,,SMB 1 (<$150K)
prestopesto.com,shopify,,,SMB 1 (<$150K)
realtimevfxstore.com,shopify,,,SMB 1 (<$150K)
doriapparel.com.au,shopify,zendesk;help_scout,klaviyo;judge_me;smile.io,SMB 1 (<$150K)
oxfordandevergreen.com,shopify,,,SMB 1 (<$150K)
amismoi.com,shopify,,,SMB 1 (<$150K)
urbanyardener.myshopify.com,shopify,,judge_me,SMB 1 (<$150K)
nikalanddust.com,shopify,Shopify Inbox,judge_me,SMB 1 (<$150K)
odiasadhabapua.com,shopify,,,SMB 1 (<$150K)
tiffanymarieart.com,shopify,,,SMB 1 (<$150K)
wristcycle.com,shopify,Shopify Inbox,judge_me;Rivo,SMB 1 (<$150K)
markatdna.com,shopify,Shopify Inbox,judge_me,SMB 1 (<$150K)
shopxpressions.myshopify.com,shopify,,yotpo,SMB 1 (<$150K)
george-butler.myshopify.com,shopify,,,SMB 1 (<$150K)
storagecube.co.nz,shopify,chatra,,SMB 1 (<$150K)
beautiquepoint.com,shopify,,judge_me,SMB 1 (<$150K)
daydreamsoaps.com,shopify,,klaviyo,SMB 1 (<$150K)
pirily.com,shopify,,,SMB 1 (<$150K)
24pethouse.myshopify.com,shopify,Shopify Inbox,judge_me,SMB 1 (<$150K)
touchableroots.com,shopify,Shopify Inbox,mailchimp;judge_me,SMB 1 (<$150K)
spacely-space-sprockets-ltd.myshopify.com,shopify,,klaviyo,SMB 1 (<$150K)
mysticalrosestore.com,shopify,Shopify Inbox,judge_me,SMB 1 (<$150K)
reveriebelle.com,shopify,Shopify Inbox,smile.io,SMB 1 (<$150K)
theextractioncourse.com,shopify,,,SMB 1 (<$150K)
pastef-usa-store.myshopify.com,shopify,,,SMB 1 (<$150K)
logiaperitifs.ch,shopify,,loox,SMB 1 (<$150K)
hydosfood.com,shopify,,,SMB 1 (<$150K)
triplethreadscollection.com,shopify,,smile.io,SMB 1 (<$150K)
nannysupplycenter.com,shopify,Shopify Inbox,,SMB 1 (<$150K)
rojese.com,shopify,,parcelpanel,SMB 1 (<$150K)
safety-co.co.uk,shopify,,loox,SMB 1 (<$150K)
3oceansintercambio.ca,shopify,,,SMB 1 (<$150K)
lovetablecloths.co.uk,magento_2,,,SMB 2 ($150K-3M)
unamourdetapis.com,magento_2,,Trust Pilot,Commercial 1 ($3-10M)
biglittleparties.com.au,shopify,,klaviyo;judge_me,SMB 1 (<$150K)
marjanavonberlepsch.com,shopify,,Boost Commerce;mailchimp,SMB 2 ($150K-3M)
chrisfarleystore.com,shopify,,,SMB 1 (<$150K)
jlveux.com,shopify,Shopify Inbox,recharge;judge_me,SMB 1 (<$150K)
crankycowcreations.co.uk,shopify,,judge_me,SMB 1 (<$150K)
adamadvani.com,shopify,Shopify Inbox,,SMB 1 (<$150K)
methodman.us,shopify,,,SMB 1 (<$150K)
purediverst.com,shopify,,,SMB 1 (<$150K)
shop.jocham-wangen.de,shopify,,,SMB 1 (<$150K)
a69f5e-2.myshopify.com,shopify,,,SMB 1 (<$150K)
ziztech.com.br,shopify,,,SMB 1 (<$150K)
carbonmod.com,shopify,,loox,SMB 1 (<$150K)
dailydesirablesnow.com,shopify,,,SMB 1 (<$150K)
steadymart.in,shopify,,,SMB 1 (<$150K)
amalfimind.com,shopify,,loox,SMB 1 (<$150K)
babieszoneco.com,shopify,,,SMB 1 (<$150K)
fashionzoo.myshopify.com,shopify,,,SMB 1 (<$150K)
sq.asfo.store,shopify,,,SMB 1 (<$150K)
latherfy.com,shopify,,Rivo,SMB 1 (<$150K)
shopmillietucker.com,shopify,,,SMB 1 (<$150K)
store.daintydystopia.de,shopify,,,SMB 1 (<$150K)
salt.hipertalk.com,shopify,,,SMB 1 (<$150K)
vaamveda.com,shopify,,judge_me,SMB 1 (<$150K)
divinedarkfemmeclub.com,shopify,,judge_me,SMB 1 (<$150K)
chumuk.myshopify.com,shopify,,,SMB 1 (<$150K)
watchforest.myshopify.com,shopify,,,SMB 1 (<$150K)
yesoslim.fr,shopify,Shopify Inbox,,SMB 1 (<$150K)
seebz.pk,shopify,,judge_me,SMB 1 (<$150K)
verssari.com.br,shopify,,,SMB 1 (<$150K)
painteddaisypaper.com,shopify,,,SMB 1 (<$150K)
elainamariejewelry.com,shopify,Shopify Inbox,,SMB 1 (<$150K)
shopthreeacorns.com,shopify,,,SMB 1 (<$150K)
sleepycute.com,shopify,,recharge;judge_me,SMB 1 (<$150K)
th-offthewagonshop.glopalstore.com,shopify,tidio,Postscript;klaviyo;Boost Commerce;judge_me,SMB 2 ($150K-3M)
fiction-buecher.de,shopify,,,SMB 1 (<$150K)
beverley-budgen-fine-art.myshopify.com,shopify,,,SMB 1 (<$150K)
3airhealth.com,shopify,,,SMB 1 (<$150K)
tonicbombco.com,shopify,,judge_me,SMB 1 (<$150K)
hopshopy.com,shopify,Shopify Inbox,judge_me,SMB 1 (<$150K)
lojaexpressmlpstore.com.br,shopify,,,SMB 1 (<$150K)
cardsoftheshire.com,shopify,Shopify Inbox,,SMB 1 (<$150K)
wxplink.com,shopify,,,SMB 2 ($150K-3M)
tlimrlam.store,shopify,,,SMB 1 (<$150K)
yoursafetycompany.com,bigcommerce,,,SMB 1 (<$150K)
webmall2000.com,bigcommerce,,,SMB 1 (<$150K)
habibipizza.com,magento_2,,,SMB 1 (<$150K)
